rotor_angle,electrical_angle,I_d,I_q,i_alpha,i_beta,i_a,i_b,i_c,torque
0,0,0,5,5,-1.025517142576656e-009,5,-2.500000000888098,-2.499999999111902,1.654425334814402
0.2,2,0,5,4.996954135130474,0.1744974825103872,4.996954135130474,-2.347362247711241,-2.649591887419232,1.704416933650234
0.4,4,0,5,4.987820251367479,0.3487823677430738,4.987820251367479,-2.191864595218238,-2.795955656149241,1.743321450506937
0.6000000000000001,6.000000000000001,0,5,4.972609476941416,0.5226423153863619,4.972609476941416,-2.033696493346119,-2.938912983595297,1.719112253068516
0.8,8,0,5,4.95134034383789,0.6958655038750601,4.95134034383789,-1.873050645563143,-3.078289698274747,1.67953487156055
1,10,0,5,4.924038765219333,0.8682408874369291,4.924038765219333,-1.710122774089286,-3.213915991130047,1.605036090648885
1.2,12,0,5,4.890738003853816,1.039558453219437,4.890738003853816,-1.545111381438876,-3.34562662241494,1.634836438381797
1.4,14,0,5,4.851478631589485,1.20960947715807,4.851478631589485,-1.378217508575854,-3.473261123013631,1.682456021688738
1.6,16,0,5,4.806308479924012,1.378186778274457,4.806308479924012,-1.209644489976326,-3.596663989947686,1.600037414878538
1.8,18,0,5,4.75528258172929,1.545084971094477,4.75528258172929,-1.039597705896828,-3.715684875832462,1.67944978761846
2,20,0,5,4.698463104202346,1.710100715878822,4.698463104202346,-0.8682843321501135,-3.830178772052232,1.772376584222743
2.2,22,0,5,4.635919273124196,1.873032966361146,4.635919273124196,-0.6959130876933457,-3.94000618543085,1.740396300462391
2.4,24,0,5,4.567727288518889,2.033683214691973,4.567727288518889,-0.5226939803361956,-4.045033308182694,1.78427604399436
2.6,26,0,5,4.49397023181552,2.191855733289936,4.49397023181552,-0.3488380508786755,-4.145132180936844,1.752999825191157
2.8,28,0,5,4.414737964626301,2.34735781330568,4.414737964626301,-0.174557115990432,-4.24018084863587,1.773679020071145
3,30,0,5,4.330127019264032,2.499999999407918,4.330127019264032,-6.351014475924899e-005,-4.330063509119273,1.689430512005552
3.2,32,0,5,4.240240481132347,2.64959632060556,4.240240481132347,0.1744301730782412,-4.414670654210589,1.6378363037975
3.4,34,0,5,4.14518786313203,2.795964516824725,4.14518786313203,0.348711340004197,-4.493899203136227,1.640494652489081
3.6,36,0,5,4.045084972236408,2.938926260964569,4.045084972236408,0.5225676558771126,-4.567652628113521,1.61966635266233
3.8,38,0,5,3.940053768398402,3.078307376161378,3.940053768398402,0.6957873035565523,-4.635841071954954,1.641349239367359
4,40,0,5,3.830222215961107,3.213938047996257,3.830222215961107,0.868159241584205,-4.698381457545311,1.681506444468623
4.2,42,0,5,3.715724127752948,3.345653031387834,3.715724127752948,1.03947346130539,-4.755197589058337,1.681243322861861
4.4,44,0,5,3.596699002057364,3.473291851917941,3.596699002057364,1.209521242732255,-4.806220244789619,1.711402922163171
4.600000000000001,46.00000000000001,0,5,3.473291852655636,3.596699001344979,3.473291852655636,1.378095408836934,-4.851387261492571,1.687278560667541
4.800000000000001,48.00000000000001,0,5,3.345653032149941,3.715724127066742,3.345653032149941,1.544990577964828,-4.890643610114769,1.656224859969318
5,50,0,5,3.213938048781849,3.830222215301917,3.213938048781849,1.710003414060536,-4.923941462842384,1.603929317985332
5.2,52,0,5,3.078307376969497,3.940053767767031,3.078307376969497,1.8729328744015,-4.951240251370997,1.600493512829303
5.4,54,0,5,2.93892626179423,4.045084971633624,2.93892626179423,2.033580454537603,-4.972506716331833,1.572329186594043
5.600000000000001,56.00000000000001,0,5,2.795964517674917,4.145187862558568,2.795964517674917,2.191750430138261,-4.987714947813178,1.567835415317189
5.800000000000001,58.00000000000001,0,5,2.649596321475247,4.240240480588907,2.649596321475247,2.347250095452369,-4.996846416927617,1.646650115132503
6,60,0,5,2.500000000296041,4.330127018751274,2.500000000296041,2.499889998090582,-4.999889998386624,1.654937743259184
6.2,62,0,5,2.347357814211158,4.41473796414485,2.347357814211158,2.649484169843861,-4.996841984055019,1.703860830782048
6.4,64,0,5,2.191855734211664,4.493970231365963,2.191855734211664,2.795850353257092,-4.987706087468756,1.696444537315142
6.600000000000001,66,0,5,2.033683215628829,4.567727288101774,2.033683215628829,2.938810223681722,-4.972493439310551,1.699590589991718
6.800000000000001,68,0,5,1.873032967311989,4.63591927274003,1.873032967311989,3.078189606536872,-4.95122257384886,1.692259883227676
7,70,0,5,1.710100716842493,4.698463103851598,1.710100716842493,3.213818689514237,-4.92391940635673,1.638646905334817
7.2,72,0,5,1.545084972069802,4.755282581412387,1.545084972069802,3.345532229468226,-4.890617201538028,1.629322152159512
7.4,74,0,5,1.378186779260248,4.806308479641342,1.378186779260248,3.473169753739278,-4.851356532999525,1.69364363282853
7.600000000000001,76,0,5,1.209609478153125,4.85147863134139,1.209609478153125,3.596575755665081,-4.806185233818206,1.674094954205082
7.800000000000001,78,0,5,1.039558454222544,4.890738003640599,1.039558454222544,3.715599884041486,-4.75515833826403,1.664763106104573
8,80,0,5,0.8682408884468671,4.924038765041254,0.8682408884468671,3.830097126302292,-4.698338014749159,1.705262758960841
8.200000000000001,82.00000000000001,0,5,0.695865504890596,4.951340343695165,0.695865504890596,3.939927985194714,-4.635793490085311,1.70896933255334
8.4,84,0,5,0.5226423164062607,4.97260947683422,0.5226423164062607,4.044958648735305,-4.567600965141565,1.80311037361676
8.6,86,0,5,0.348782368766094,4.987820251295942,0.348782368766094,4.145061153239238,-4.493843522005333,1.772873978805606
8.800000000000001,88,0,5,0.1744974835352803,4.996954135094684,0.1744974835352803,4.240113539224356,-4.414611022759636,1.750116703379643
9,90,0,5,0,5,0,4.33,-4.33,1.631825491801525
9.200000000000001,92.00000000000001,0,5,-0.1744974835352815,4.996954135094684,-0.1744974835352815,4.414611022759637,-4.240113539224355,1.665267125397551
9.4,94,0,5,-0.348782368766094,4.987820251295942,-0.348782368766094,4.493843522005333,-4.145061153239238,1.616797045933442
9.600000000000001,96.00000000000001,0,5,-0.5226423164062619,4.97260947683422,-0.5226423164062619,4.567600965141566,-4.044958648735304,1.622129317320294
9.800000000000001,98,0,5,-0.6958655048905972,4.951340343695165,-0.6958655048905972,4.635793490085311,-3.939927985194714,1.660709542415175
10,100,0,5,-0.8682408884468671,4.924038765041254,-0.8682408884468671,4.698338014749159,-3.830097126302292,1.695877694728206
10.2,102,0,5,-1.039558454222545,4.890738003640599,-1.039558454222545,4.755158338264031,-3.715599884041485,1.709545122267792
10.4,104,0,5,-1.209609478153125,4.85147863134139,-1.209609478153125,4.806185233818206,-3.596575755665081,1.72721836802431
10.6,106,0,5,-1.378186779260249,4.806308479641341,-1.378186779260249,4.851356532999526,-3.473169753739278,1.679233812397901
10.8,108,0,5,-1.545084972069802,4.755282581412387,-1.545084972069802,4.890617201538028,-3.345532229468226,1.652920006675871
11,110,0,5,-1.710100716842493,4.698463103851598,-1.710100716842493,4.92391940635673,-3.213818689514237,1.631538035472192
11.2,112,0,5,-1.87303296731199,4.635919272740029,-1.87303296731199,4.95122257384886,-3.07818960653687,1.588594603610968
11.4,114,0,5,-2.033683215628829,4.567727288101774,-2.033683215628829,4.972493439310551,-2.938810223681722,1.538959244963637
11.6,116,0,5,-2.191855734211666,4.493970231365962,-2.191855734211666,4.987706087468756,-2.79585035325709,1.557971778068312
11.8,118,0,5,-2.347357814211158,4.41473796414485,-2.347357814211158,4.996841984055019,-2.649484169843861,1.599565556870424
12,120,0,5,-2.500000000296041,4.330127018751274,-2.500000000296041,4.999889998386624,-2.499889998090582,1.663084590491591
12.2,122,0,5,-2.649596321475248,4.240240480588906,-2.649596321475248,4.996846416927616,-2.347250095452368,1.69184381561608
12.4,124,0,5,-2.795964517674918,4.145187862558568,-2.795964517674918,4.987714947813179,-2.191750430138261,1.653128188144448
12.6,126,0,5,-2.938926261794231,4.045084971633623,-2.938926261794231,4.972506716331832,-2.033580454537602,1.64214167349374
12.8,128,0,5,-3.078307376969497,3.940053767767031,-3.078307376969497,4.951240251370997,-1.8729328744015,1.645129819785908
13,130,0,5,-3.213938048781849,3.830222215301917,-3.213938048781849,4.923941462842384,-1.710003414060536,1.645029345815723
13.2,132,0,5,-3.345653032149941,3.715724127066742,-3.345653032149941,4.890643610114769,-1.544990577964828,1.617494105613964
13.4,134,0,5,-3.473291852655638,3.596699001344979,-3.473291852655638,4.851387261492571,-1.378095408836933,1.665929463072003
13.6,136,0,5,-3.596699002057364,3.473291851917941,-3.596699002057364,4.806220244789619,-1.209521242732255,1.745977627825077
13.8,138,0,5,-3.715724127752948,3.345653031387834,-3.715724127752948,4.755197589058337,-1.03947346130539,1.76676387548965
14,140,0,5,-3.830222215961107,3.213938047996257,-3.830222215961107,4.698381457545311,-0.868159241584205,1.766180741224374
14.2,142,0,5,-3.940053768398402,3.078307376161378,-3.940053768398402,4.635841071954954,-0.6957873035565523,1.774885008099713
14.4,144,0,5,-4.045084972236408,2.938926260964569,-4.045084972236408,4.567652628113521,-0.5225676558771126,1.765564917908629
14.6,146,0,5,-4.14518786313203,2.795964516824725,-4.14518786313203,4.493899203136227,-0.348711340004197,1.793252378320916
14.8,148,0,5,-4.240240481132347,2.64959632060556,-4.240240481132347,4.414670654210589,-0.1744301730782412,1.72986661968051
15,150,0,5,-4.330127019264032,2.499999999407918,-4.330127019264032,4.330063509119273,6.351014475924899e-005,1.749921059967671
